Id,Neighborhood,Date,Price,NetArea,GrossArea,NumberOfRoom,AgeOfBuilding,LocatedFloor,TotalFloor,Bathroom,Balcony,Furniture,RentIncome
687546075,Fenerbahce ,24.05.2019,750.00,82.00,90.00,3.00,25.00,3.00,8.00,1.00,1.00,0.00,0.00
694247783,Feneryolu ,20.05.2019,750.00,80.00,90.00,3.00,0.00,0.00,9.00,1.00,0.00,0.00,0.00
689652331,Zuhtupasa ,1.05.2019,750.00,82.00,110.00,3.00,0.00,6.00,10.00,2.00,1.00,0.00,0.00
681994938,Feneryolu ,9.05.2019,750.00,70.00,100.00,3.00,0.00,3.00,9.00,2.00,1.00,0.00,0.00
647990737,Feneryolu ,21.05.2019,750.00,90.00,110.00,3.00,7.00,11.00,12.00,2.00,1.00,0.00,0.00
676748212,Goztepe ,2.05.2019,750.00,91.00,91.00,3.00,7.00,6.00,7.00,2.00,1.00,0.00,0.00
685384538,Feneryolu ,18.05.2019,750.00,85.00,100.00,3.00,7.00,8.00,12.00,1.00,0.00,0.00,1.00
691629304,Goztepe ,9.05.2019,750.00,86.00,95.00,3.00,0.00,6.00,8.00,1.00,1.00,0.00,1.00
498518240,Egitim ,2.05.2019,750.00,115.00,120.00,4.00,0.00,3.00,8.00,2.00,1.00,0.00,0.00
622772938,Goztepe ,20.05.2019,750.00,75.00,90.00,3.00,7.00,6.00,12.00,2.00,1.00,0.00,0.00
693564712,Goztepe ,17.05.2019,750.00,72.00,90.00,3.00,0.00,10.00,14.00,1.00,0.00,0.00,0.00
688383177,Feneryolu ,28.05.2019,750.00,65.00,80.00,3.00,1.00,8.00,12.00,1.00,0.00,0.00,0.00
696044858,Goztepe ,28.05.2019,750.00,110.00,130.00,4.00,30.00,3.00,3.00,1.00,1.00,0.00,1.00
693737205,Goztepe ,18.05.2019,750.00,72.00,90.00,3.00,0.00,10.00,13.00,1.00,0.00,0.00,0.00
640897483,Goztepe ,22.05.2019,750.00,100.00,120.00,4.00,28.00,1.00,4.00,1.00,1.00,0.00,1.00
689743978,Goztepe ,1.05.2019,750.00,85.00,105.00,3.00,3.00,4.00,7.00,1.00,0.00,0.00,1.00
694965336,Feneryolu ,23.05.2019,750.00,85.00,120.00,3.00,7.00,11.00,12.00,2.00,1.00,0.00,0.00
642171139,Zuhtupasa ,21.05.2019,750.00,86.00,110.00,3.00,0.00,4.00,8.00,1.00,1.00,0.00,0.00
683527869,Goztepe ,13.05.2019,750.00,99.00,120.00,4.00,30.00,4.00,4.00,1.00,1.00,0.00,1.00
694410152,Goztepe ,21.05.2019,750.00,92.00,120.00,4.00,0.00,6.00,8.00,2.00,0.00,0.00,0.00
681577489,Goztepe ,8.05.2019,750.00,95.00,110.00,3.00,13.00,11.00,12.00,2.00,1.00,0.00,0.00
693055728,Feneryolu ,15.05.2019,750.00,86.00,120.00,3.00,7.00,11.00,12.00,2.00,1.00,0.00,0.00
673479438,Zuhtupasa ,28.05.2019,755.00,90.00,105.00,3.00,0.00,7.00,10.00,2.00,1.00,0.00,0.00
695421053,Zuhtupasa ,25.05.2019,760.00,78.00,107.00,3.00,0.00,3.00,10.00,1.00,1.00,0.00,0.00
631876826,Feneryolu ,13.05.2019,760.00,87.00,120.00,4.00,0.00,6.00,10.00,2.00,0.00,0.00,0.00
696516595,Goztepe ,29.05.2019,765.00,87.00,110.00,3.00,2.00,4.00,10.00,2.00,0.00,0.00,1.00
686037133,Goztepe ,20.05.2019,765.00,88.00,110.00,3.00,2.00,4.00,10.00,2.00,0.00,0.00,1.00
690129230,Goztepe ,3.05.2019,770.00,72.00,95.00,2.00,0.00,10.00,15.00,2.00,0.00,0.00,0.00
692553415,Feneryolu ,13.05.2019,775.00,83.00,110.00,4.00,0.00,2.00,8.00,2.00,0.00,0.00,1.00
692554902,Feneryolu ,13.05.2019,775.00,83.00,110.00,4.00,0.00,2.00,8.00,2.00,0.00,0.00,1.00
614735675,Goztepe ,2.05.2019,775.00,96.00,120.00,3.00,30.00,4.00,4.00,1.00,1.00,0.00,1.00
585126354,Goztepe ,5.07.2018,775.00,100.00,120.00,4.00,0.00,6.00,7.00,1.00,1.00,0.00,0.00
674805239,Fenerbahce ,23.05.2019,775.00,90.00,120.00,4.00,30.00,4.00,4.00,2.00,1.00,0.00,1.00
564409843,Fenerbahce ,11.05.2019,775.00,90.00,110.00,4.00,30.00,0.00,3.00,1.00,0.00,0.00,1.00
